stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
adcp_ancillary_system_data,20160,,,14,0,,No good data from ingested sample
adcp_compass_calibration,20160,2,,14,28,,No good data from ingested sample
adcp_pd0_beam_parsed,60,,107000,0.0417,"107,000",,Sample data 21k-107k per day
adcp_pd0_earth_parsed,1440,,,1,0,,No ingested data
adcp_pd12_parsed,1440,,,1,0,,No ingested data
adcp_system_configuration,20160,2,,14,28,,No ingested data
adcp_transmit_path,20160,,,14,0,,No good data from ingested sample
adcp_waves_parsed,1440,,,1,0,,No ingested data
adcpa_m_glider_instrument,1440,86400,,1,"86,400",,No ingested data
adcpa_m_glider_recovered,1440,86400,5300,1,"86,400",Conflict,Sample data 120-5300 per day
adcpa_n_auv_instrument,1440,,,1,0,,No ingested data
adcpa_n_instrument,1440,,,1,0,,No ingested data
adcps_jln_beam_instrument,1440,,,1,0,,No ingested data
adcps_jln_instrument,20160,,23,14,322,,Sample data 23 per day
adcps_jln_sio_mule_instrument,1440,86400,10,1,"86,400",Conflict,Sample data 6-10 per day
adcps_jln_stc_instrument,20160,,100,14,"1,400",,Sample data 14-100 per day
adcps_jln_stc_instrument_recovered,20160,24,,14,336,,No ingested data
adcps_jln_stc_metadata,20160,,20,14,280,,Sample data 2-20 per day
adcps_jln_stc_metadata_recovered,20160,,,14,0,,No ingested data
adcps_parsed,1440,,,1,0,,No ingested data
adcpt_acfgm_dcl_instrument,1440,,,1,0,,No ingested data
adcpt_acfgm_dcl_instrument_recovered,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_beam_dcl_instrument,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_beam_dcl_instrument_recovered,1440,,,1,0,,No ingested data
adcpt_acfgm_pd0_dcl_instrument,20160,8,100,14,"1,400",,Sample data 2-100 per day
adcpt_acfgm_pd0_dcl_instrument_recovered,20160,8,,14,112,,No ingested data
adcpt_acfgm_pd8_dcl_instrument,20160,24,2,14,336,,Sample data 2 per day
adcpt_acfgm_pd8_dcl_instrument_recovered,20160,24,,14,336,,No ingested data
adcpt_m_instrument_dspec_recovered,1440,,,1,0,,No ingested data
adcpt_m_instrument_fcoeff_recovered,1440,,,1,0,,No ingested data
adcpt_m_instrument_log9_recovered,1440,,,1,0,,No ingested data
adcpt_m_wvs_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_digital_tx_board,1440,,,1,0,,No ingested data
auv_eng_auv_digital_tx_board_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_digital_usbl,1440,,,1,0,,No ingested data
auv_eng_auv_digital_usbl_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_emergency_board,1440,,,1,0,,No ingested data
auv_eng_auv_emergency_board_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_fault_message,1440,,,1,0,,No ingested data
auv_eng_auv_fault_message_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_imagenex_852,1440,,,1,0,,No ingested data
auv_eng_auv_imagenex_852_recovered,180,,,0.125,0,,No ingested data
auv_eng_auv_oil_compensator,1440,,,1,0,,No ingested data
auv_eng_auv_oil_compensator_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_smart_battery,1440,,,1,0,,No ingested data
auv_eng_auv_smart_battery_recovered,1440,,,1,0,,No ingested data
auv_eng_auv_state,1440,,,1,0,,No ingested data
auv_eng_auv_state_recovered,180,,,0.125,0,,No ingested data
auv_eng_auv_tri_fin_motor,1440,,,1,0,,No ingested data
auv_eng_auv_tri_fin_motor_recovered,360,,,0.25,0,,No ingested data
botpt_heat_sample,2880,28800,27000,2,"86,400",,Sample data 24k-27k per day
botpt_iris_sample,720,86400,70000,0.5,"86,400",,Sample data 60k-70k per day
botpt_lily_leveling,20160,24,580000,14,"8,120,000",Conflict,Sample data 580k per day
botpt_lily_sample,720,86400,75000,0.5,"86,400",,Sample data 65k-75k per day
botpt_nano_sample,60,864000,1500000,0.0417,"187,500",Conflict,Sample data 1300k -1500k per day
botpt_nano_sample_15sec,80640,,,,,,
botpt_nano_sample_24hour,525600,,,,,,
botpt_status,20160,2,,14,28,,No ingested data
calibration_status,4320,,15000,3,"105,000",,Sample data 5k-15k per day
camds_disk_status,20160,2,,14,28,,No ingested data
camds_health_status,20160,2,,14,28,,No ingested data
camds_image_metadata,20160,60,1200,14,"16,800","Conflict, but both numbers are low",Sample data 1200 per day
camhd_adread_status,1440,,,1,0,,No ingested data
camhd_streaming_status,1440,,,1,0,,No ingested data
cg_cpm_eng_cpm,20160,,16,14,224,Suspect,Sample data 1-16 per day
cg_cpm_eng_cpm_recovered,20160,,8,14,112,Suspect,Sample data 8 per day
cg_dcl_eng_dcl_cpu_uptime,20160,,275,14,"3,850",,Sample data 1-275 per day
cg_dcl_eng_dcl_cpu_uptime_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_dlog_aarm,20160,,106,14,"1,484",,Sample data 2-106 per day
cg_dcl_eng_dcl_dlog_aarm_recovered,20160,,14,14,196,,Sample data 14 per day
cg_dcl_eng_dcl_dlog_mgr,20160,,280,14,"3,920",,Sample data 1-280 per day
cg_dcl_eng_dcl_dlog_mgr_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_dlog_status,20160,,1500,14,"21,000",,Sample data 4-1500 per day
cg_dcl_eng_dcl_dlog_status_recovered,20160,,141,14,"1,974",,Sample data 43-141 per day
cg_dcl_eng_dcl_error,20160,,230,14,"3,220",,Sample data 1-230 per day
cg_dcl_eng_dcl_error_recovered,20160,,110,14,"1,540",,Sample data 22-110 per day
cg_dcl_eng_dcl_gps,20160,,300,14,"4,200",,Sample data 2-300 per day
cg_dcl_eng_dcl_gps_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_msg_counts,20160,,290,14,"4,060",,Sample data 1-290 per day
cg_dcl_eng_dcl_msg_counts_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_pps,20160,,290,14,"4,060",,Sample data 1-290 per day
cg_dcl_eng_dcl_pps_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_status,20160,,280,14,"3,920",,Sample data 1-280 per day
cg_dcl_eng_dcl_status_recovered,20160,,30,14,420,,Sample data 17-30 per day
cg_dcl_eng_dcl_superv,20160,,800,14,"11,200",,Sample data 1-800 per day
cg_dcl_eng_dcl_superv_recovered,20160,,90,14,"1,260",,Sample data 18-90 per day
cg_stc_eng_stc,20160,,18,14,252,,Sample data 3-18 per day
cg_stc_eng_stc_recovered,20160,,30,14,420,,Sample data 2-30 per day
cgldr_engineering_delayed,1440,,,1,0,,No ingested data
cgldr_flort_delayed,1440,,,1,0,,No ingested data
cgldr_parad_delayed,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_batt_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_batt_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_gps_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_gps_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_dbg_pdbg_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_hmr_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_sbe_metadata_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_eng,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_eng_recovered,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_metadata,1440,,,1,0,,No ingested data
cspp_eng_cspp_wc_wm_metadata_recovered,1440,,,1,0,,No ingested data
ctd_external_dataset,1440,,,1,0,,No ingested data
ctd_simulator,1440,,,1,0,,No ingested data
ctdav_n_auv_instrument,1440,,,1,0,,No ingested data
ctdav_n_auv_instrument_recovered,720,,,0.5,0,,No ingested data
ctdbp_cdef_calibration_coefficients,1440,,,1,0,,No ingested data
ctdbp_cdef_ce_dosta_recovered,1440,,,1,0,,No ingested data
ctdbp_cdef_ce_instrument_recovered,20160,,120,14,"1,680",,Sample data 120 per day
ctdbp_cdef_cp_instrument_recovered,20160,,3100,14,"43,400",,Sample data 800-3100 per day
ctdbp_cdef_dcl_ce_dosta,20160,,70,14,980,,Sample data 1-70 per day
ctdbp_cdef_dcl_ce_dosta_recovered,20160,,,14,0,,No ingested data
ctdbp_cdef_dcl_ce_instrument,20160,1440,130,14,"20,160","Conflict, but both are low",Sample data 1-130 per day
ctdbp_cdef_dcl_ce_instrument_recovered,20160,1440,,14,"20,160",,No ingested data
ctdbp_cdef_dcl_cp_instrument,20160,3456,1000,14,"48,384","Conflict, but both are low",Sample data 10-1000 per day
ctdbp_cdef_dcl_cp_instrument_recovered,20160,3456,,14,"48,384",,No ingested data
ctdbp_cdef_sample,1440,,,1,0,,No ingested data
ctdbp_cdef_status,1440,,,1,0,,No ingested data
ctdbp_no_calibration_coefficients,20160,2,,14,28,,No good data from ingested sample
ctdbp_no_configuration,20160,2,,14,28,,No good data from ingested sample
ctdbp_no_hardware,20160,2,,14,28,,No good data from ingested sample
ctdbp_no_optode_settings,20160,2,,14,28,,No ingested data
ctdbp_no_sample,360,8640,150000,0.25,"150,000",Conflict,Sample data 100k-150k per day
ctdbp_no_status,20160,2,,14,28,,No ingested data
ctdgv_m_glider_instrument,20160,1440,2000,14,"28,000",,Sample data 60-2000 per day
ctdgv_m_glider_instrument_recovered,1440,43200,40000,1,"129,600",,Sample data 3k-40k per day
ctdmo_ghqr_imodem_instrument,20160,8640,180,14,"120,960",Conflict,Sample data 1-180 per day
ctdmo_ghqr_imodem_instrument_recovered,20160,8640,,14,"120,960",,No ingested data
ctdmo_ghqr_imodem_metadata,20160,,20,14,280,,Sample data 7-20 per day
ctdmo_ghqr_imodem_metadata_recovered,20160,,,14,0,,No ingested data
ctdmo_ghqr_instrument_recovered,20160,,100,14,"1,400",,Sample data 100 per day
ctdmo_ghqr_offset_recovered,20160,,,14,0,,No ingested data
ctdmo_ghqr_sio_mule_instrument,20160,,140,14,"1,960",,Sample data 1-140 per day
ctdmo_ghqr_sio_offset,20160,,15,14,210,,Sample data 1-15 per day
ctdpf_ckl_mmp_cds_instrument,1440,8640,,1,"8,640",,No ingested data
ctdpf_ckl_wfp_instrument,10080,960,11000,7,"77,000",Conflict,Sample data 20-11000 per day
ctdpf_ckl_wfp_instrument_recovered,4320,960,16000,3,"112,000",Conflict,Sample data 6k-16k per day
ctdpf_ckl_wfp_metadata,20160,,15,14,210,,Sample data 5-15 per day
ctdpf_ckl_wfp_metadata_recovered,20160,,35,14,490,,Sample data 1-35 per day
ctdpf_ckl_wfp_sio_mule_metadata,20160,,1,14,14,,Sample data 1 per day
ctdpf_j_cspp_instrument,20160,,10,14,140,,Sample data 10 per day
ctdpf_j_cspp_instrument_recovered,1440,,4500,1,"63,000",,Sample data 4500 per day
ctdpf_j_cspp_metadata,20160,,1,14,14,,Sample data 1 per day
ctdpf_j_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
ctdpf_optode_calibration_coefficients,20160,2,,14,28,,No good data from ingested sample
ctdpf_optode_configuration,20160,2,,14,28,,No good data from ingested sample
ctdpf_optode_hardware,20160,2,,14,28,,No good data from ingested sample
ctdpf_optode_sample,720,86400,85000,0.5,"86,400",,sample data 50k-85k per day
ctdpf_optode_settings,20160,2,,14,28,,No ingested data
ctdpf_optode_status,20160,2,,14,28,,No ingested data
ctdpf_parsed,1440,,,1,0,,No ingested data
ctdpf_sbe43_calibration_coefficients,20160,2,,14,28,,No good data from ingested sample
ctdpf_sbe43_configuration,20160,2,,14,28,,No good data from ingested sample
ctdpf_sbe43_hardware,20160,2,,14,28,,No good data from ingested sample
ctdpf_sbe43_sample,360,86400,265000,0.25,"132,500",Conflict,Sample data 15k-265k per day
ctdpf_sbe43_status,20160,2,,14,28,,No ingested data
d1000_sample,10080,5760,10000,7,"70,000",,Sample data 10k per day
dofst_k_wfp_instrument,10080,960,11000,7,"77,000",Conflict,Sample data 4k-11k per day
dofst_k_wfp_instrument_recovered,10080,960,16000,7,"112,000",Conflict,Sample data 6k-16k per day
dofst_k_wfp_metadata,20160,,13,14,182,,Sample data 4-13 per day
dofst_k_wfp_metadata_recovered,20160,,35,14,490,,Sample data 3-35 per day
dosta_abcdjm_cspp_instrument,20160,360,,14,"5,040",,No ingested data
dosta_abcdjm_cspp_instrument_recovered,20160,360,500,14,"7,000",,Sample data 500 per day
dosta_abcdjm_cspp_metadata,20160,,,14,0,,No ingested data
dosta_abcdjm_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
dosta_abcdjm_dcl_instrument,4320,9600,18000,3,"126,000",,Sample data 200-18k per day
dosta_abcdjm_dcl_instrument_recovered,4320,9600,2000,3,"67,200",Conflict,Sample data 1k-2k per day
dosta_abcdjm_glider_instrument,20160,1440,1400,14,"20,160",,Sample data 50-1400 per day
dosta_abcdjm_glider_recovered,1440,43200,65000,1,"195,000",,Sample data 4.5k-65k per day
dosta_abcdjm_mmp_cds_instrument,20160,1440,,14,"20,160",,No ingested data
dosta_abcdjm_sio_instrument,20160,1440,11,14,"20,160","Conflict, but both are low",Sample data 1-11 per day
dosta_abcdjm_sio_instrument_recovered,20160,1440,96,14,"20,160","Conflict, but both are low",Sample data 96 per day
dosta_abcdjm_sio_metadata,20160,,1,14,14,,Sample data 1 per day
dosta_abcdjm_sio_metadata_recovered,20160,,1,14,14,,Sample data 1 per day
dosta_d_engineering,1440,,,1,0,,No ingested data
dosta_d_sample,1440,,,1,0,,No ingested data
dosta_ln_auv_instrument,1440,,,1,0,,No ingested data
dosta_ln_auv_instrument_recovered,720,,,0.5,0,,No ingested data
dosta_ln_wfp_instrument,20160,1440,23,14,"20,160","Conflict, but both are low",Sample data 23 per day
dosta_ln_wfp_instrument_recovered,20160,,1000,14,"14,000",,Sample data 1k per day
dosta_ln_wfp_sio_instrument,1440,,,1,0,,No ingested data
dpc_acm_instrument,1440,,,1,0,,No ingested data
dpc_acm_instrument_recovered,720,,,0.5,0,,No ingested data
dpc_acs_instrument_recovered,1440,,,1,0,,No ingested data
dpc_ctd_instrument,1440,,,1,0,,No ingested data
dpc_ctd_instrument_recovered,1440,,,1,0,,No ingested data
dpc_flcdrtd_instrument,1440,,,1,0,,No ingested data
dpc_flcdrtd_instrument_recovered,1440,,,1,0,,No ingested data
dpc_flnturtd_instrument,1440,,,1,0,,No ingested data
dpc_flnturtd_instrument_recovered,1440,,,1,0,,No ingested data
dpc_mmp_instrument,1440,,,1,0,,No ingested data
dpc_mmp_instrument_recovered,1440,,,1,0,,No ingested data
dpc_optode_instrument,1440,,,1,0,,No ingested data
dpc_optode_instrument_recovered,1440,,,1,0,,No ingested data
echo_sounding,20160,,144,14,"2,016",,Sample data 144 per day
fdchp_a_dcl_instrument,20160,,12,14,168,,Sample data 2-12 per day
fdchp_a_dcl_instrument_recovered,20160,,,14,0,,No ingested data
fdchp_a_instrument_recovered,180,,,0.125,0,,No ingested data
flcdr_x_mmp_cds_instrument,1440,86400,,1,"86,400",,No ingested data
flntu_x_mmp_cds_instrument,1440,86400,,1,"86,400",,No ingested data
flobn_c_lower_coil_recovered,1440,,,1,0,,No ingested data
flobn_c_upper_coil_recovered,1440,,,1,0,,No ingested data
flobn_m_ambient_temperature_recovered,1440,,,1,0,,No ingested data
flobn_m_direction_x_flow_rate_recovered,1440,,,1,0,,No ingested data
flobn_m_direction_y_flow_rate_recovered,1440,,,1,0,,No ingested data
flobn_m_direction_z_flow_rate_recovered,1440,,,1,0,,No ingested data
flobn_m_position_x1_recovered,1440,,,1,0,,No ingested data
flobn_m_position_x2_recovered,1440,,,1,0,,No ingested data
flobn_m_position_y1_recovered,1440,,,1,0,,No ingested data
flobn_m_position_y2_recovered,1440,,,1,0,,No ingested data
flobn_m_position_z1_recovered,1440,,,1,0,,No ingested data
flobn_m_position_z2_recovered,1440,,,1,0,,No ingested data
flobn_m_position_z3_recovered,1440,,,1,0,,No ingested data
flobn_m_position_z4_recovered,1440,,,1,0,,No ingested data
flobn_m_position_z5_recovered,1440,,,1,0,,No ingested data
flord_l_wfp_instrument,20160,270,23,14,"3,780",,Sample data 1-23 per day
flord_l_wfp_instrument_recovered,20160,270,870,14,"12,180","Conflict, but both are low",Sample data 800-870 per day
flord_l_wfp_sio_instrument,1440,,,1,0,,No ingested data
flord_m_glider_instrument,20160,8640,775,14,"120,960",Conflict,Sample data 50-775 per day
flord_m_glider_instrument_recovered,720,345600,14000,0.5,"172,800",Conflict,Sample data 7-14k per day
flort_d_data_record,720,86400,71000,0.5,"86,400",,Sample data 13k-71k per day
flort_d_status,10080,2,12000,7,"84,000",Conflict,Sample data 3-12k per day
flort_dj_cspp_instrument,20160,,,14,0,,No ingested data
flort_dj_cspp_instrument_recovered,20160,,300,14,"4,200",,Sample data 300 per day
flort_dj_cspp_metadata,20160,,,14,0,,No ingested data
flort_dj_cspp_metadata_recovered,20160,,,14,0,,Sample data 3 per day
flort_dj_dcl_instrument,1440,100,13000,1,"91,000",Conflict,Sample data 60-13k per day
flort_dj_dcl_instrument_recovered,1440,100,23000,1,"161,000",Conflict,Sample data 800-23k per day
flort_dj_sio_instrument,1440,86400,11,1,"86,400",Conflict,Sample data 5-11 per day
flort_dj_sio_instrument_recovered,1440,86400,100,1,"86,400",Conflict,Sample data 100 per day
flort_kn_auv_instrument,1440,,,1,0,,No ingested data
flort_kn_auv_instrument_recovered,1440,,,1,0,,No ingested data
flort_kn_auv_metadata,1440,,,1,0,,No ingested data
flort_kn_auv_metadata_recovered,1440,,,1,0,,No ingested data
flort_kn_stc_imodem_instrument,1440,86400,1400,1,"86,400",Conflict,Sample data 300-1400 per day
flort_kn_stc_imodem_instrument_recovered,1440,86400,2200,1,"86,400",Conflict,Sample data 1k-2.2k per day
flort_m_glider_instrument,1440,1440,57000,1,"57,000",Conflict,Sample data 230-57k per day
flort_m_glider_recovered,720,86400,,0.5,"86,400",,No ingested data
fuelcell_eng_dcl_recovered,1440,,,1,0,,No ingested data
fuelcell_eng_dcl_telemetered,1440,,,1,0,,No ingested data
ggldr_ctdgv_delayed,1440,,,1,0,,No ingested data
ggldr_dosta_delayed,1440,,,1,0,,No ingested data
ggldr_eng_delayed,1440,,,1,0,,No ingested data
ggldr_flord_delayed,1440,,,1,0,,No ingested data
glider_eng_metadata,20160,,51,14,714,,Sample data 1-51 per day
glider_eng_metadata_recovered,20160,,19,14,266,,Sample data 2-19 per day
glider_eng_recovered,720,,19000,0.5,"19,000",glider eng big particles,Sample data 3k-19k per day
glider_eng_sci_recovered,20160,,40,14,560,,Sample data 5-40 per day
glider_eng_sci_telemetered,20160,,90,14,"1,260",,Sample data 6-80 per day
glider_eng_telemetered,1440,,10000,1,"10,000",glider eng big particles,Sample data 70-10k per day
horizontal_electric_field,720,,68000,0.5,"68,000",,Sample data 68k per day
hpies_data_header,20160,,1400,14,"19,600",,Sample data 1400 per day
hpies_status,20160,,1400,14,"19,600",,Sample data 1400 per day
hyd_o_dcl_instrument,1440,,,1,0,,No ingested data
hyd_o_dcl_instrument_recovered,1440,,,1,0,,No ingested data
ies_status,1440,,,1,0,,No ingested data
massp_mcu_status,20160,2,1400,14,"19,600","Conflict, but both small",Sample data 1400 per day
massp_rga_sample,1440,17280,,1,"17,280",,No ingested data
massp_rga_status,20160,2,,14,28,,No ingested data
massp_turbo_status,20160,2,,14,28,,No ingested data
metbk_a_dcl_instrument,20160,1440,1300,14,"20,160",,Sample data 150-1300 per day
